umap_1	umap_2	cell_type	cell_type_broad	tissue	subtype
5.417523384094238	10.488356590270996	Neutrophil	Myeloid	LN	SCLC-A
-12.365336418151855	1.3260475397109985	B cell	B cell	lung	SCLC-A
7.313491344451904	-2.7250194549560547	NK	NK	lung	SCLC-A
-3.1447067260742188	9.948545455932617	Mono/Mφ	Myeloid	lung	SCLC-A
2.775723457336426	-1.1249258518218994	CD8+ Tmem	T cells	lung	SCLC-A
-5.48944616317749	-6.116572856903076	CD4+ Tconv	T cells	lung	SCLC-A
1.4581494331359863	-0.749109148979187	CD4+ Tconv	T cells	lung	SCLC-A
-6.988193511962891	-6.02229642868042	CD4+ Treg	T cells	lung	SCLC-A
3.3281426429748535	-1.942171335220337	CD8+ Tmem	T cells	lung	SCLC-A
-12.893245697021484	1.0499675273895264	B cell	B cell	LN	SCLC-A
-0.13017205893993378	0.1319296807050705	CD4+ Tconv	T cells	liver	SCLC-N
-7.833642482757568	-6.107061386108398	CD8+ Tmem	T cells	lung	SCLC-A
-6.7315802574157715	-6.591097831726074	CD4+ Tconv	T cells	lung	SCLC-A
1.3725844621658325	-0.8113030791282654	CD4+ Tconv	T cells	lung	SCLC-A
-3.207383871078491	9.845540046691895	cDC	Myeloid	lung	SCLC-A
2.8903262615203857	0.550969660282135	CD8+ Tmem	T cells	pleural_effusion	SCLC-A
-6.356743812561035	-6.72983980178833	CD4+ Tconv	T cells	lung	SCLC-A
-8.050031661987305	-6.469998836517334	CD8+ Tmem	T cells	lung	SCLC-A
-2.4075067043304443	10.277202606201172	Mono/Mφ	Myeloid	pleural_effusion	SCLC-N
3.5033490657806396	-1.8531063795089722	CD8+ Tmem	T cells	lung	SCLC-A
9.780780792236328	-2.972935438156128	Tgd	T cells	pleural_effusion	SCLC-A
-2.7077527046203613	10.962905883789062	Mono/Mφ	Myeloid	LN	SCLC-A
8.384400367736816	-1.642314076423645	NK	NK	LN	SCLC-A
4.841458320617676	9.97628116607666	Neutrophil	Myeloid	LN	SCLC-A
2.9383797645568848	0.15992872416973114	CD8+ Tmem	T cells	pleural_effusion	SCLC-A
-8.164468765258789	-6.269251823425293	CD8+ Tmem	T cells	lung	SCLC-A
-0.45170778036117554	-1.4631438255310059	CD4+ Tconv	T cells	lung	SCLC-A
-9.075662612915039	6.714876174926758	pDC	Myeloid	pleural_effusion	SCLC-A
9.606717109680176	-2.9351978302001953	Tgd	T cells	pleural_effusion	SCLC-A
1.368053913116455	-5.378921985626221	CD8+ Tmem	T cells	liver	SCLC-N
0.8467553853988647	-0.3208901584148407	CD4+ Tconv	T cells	lung	SCLC-A
0.24179893732070923	1.5189224481582642	CD4+ Tconv	T cells	axilla	SCLC-N
5.043510437011719	9.876251220703125	Neutrophil	Myeloid	liver	SCLC-A
-3.76114559173584	-4.751976013183594	CD8+ Texh	T cells	lung	SCLC-A
5.29656457901001	10.765328407287598	Neutrophil	Myeloid	LN	SCLC-A
2.8724584579467773	0.24462901055812836	CD8+ Tmem	T cells	pleural_effusion	SCLC-A
-2.9744389057159424	10.584973335266113	Mono/Mφ	Myeloid	lung	SCLC-A
-7.521711826324463	-6.202402591705322	CD8+ Tmem	T cells	lung	SCLC-A
7.682460784912109	-1.2096433639526367	NK	NK	lung	SCLC-N
9.331628799438477	-2.7819995880126953	Tgd	T cells	pleural_effusion	SCLC-A
4.965217590332031	9.698311805725098	Neutrophil	Myeloid	liver	SCLC-A
-3.161064386367798	9.876243591308594	Mono/Mφ	Myeloid	lung	SCLC-A
7.513021945953369	-3.0122289657592773	NK	NK	lung	SCLC-A
2.2645065784454346	-4.809684753417969	CD8+ Tmem	T cells	liver	SCLC-N
-11.187408447265625	1.3752071857452393	B cell	B cell	lung	SCLC-A
2.031599760055542	1.3590035438537598	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
-6.851849555969238	-6.377818584442139	CD4+ Tconv	T cells	lung	SCLC-A
8.405621528625488	-1.6924139261245728	NK	NK	LN	SCLC-A
9.511292457580566	-2.641200065612793	Tgd	T cells	pleural_effusion	SCLC-A
-12.8704195022583	0.9814854264259338	B cell	B cell	LN	SCLC-A
1.4062553644180298	-5.267237663269043	CD8+ Tmem	T cells	liver	SCLC-A
2.0499460697174072	1.580302357673645	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
-0.4377991557121277	-3.302520990371704	CD4+ Tconv	T cells	liver	SCLC-N
6.316074371337891	-3.320927619934082	NK	NK	lung	SCLC-A
5.1335883140563965	9.822395324707031	Neutrophil	Myeloid	liver	SCLC-A
8.15067195892334	-2.7563512325286865	Tgd	T cells	pleural_effusion	SCLC-A
9.343957901000977	-2.971065044403076	Tgd	T cells	pleural_effusion	SCLC-A
5.105001449584961	10.013561248779297	Neutrophil	Myeloid	liver	SCLC-A
2.7466320991516113	1.7555508613586426	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
1.8661750555038452	-3.5054688453674316	CD8+ Teff	T cells	liver	SCLC-N
-2.0288233757019043	-1.6175168752670288	CD4+ Treg	T cells	lung	SCLC-A
3.650442123413086	-1.9732208251953125	CD8+ Tmem	T cells	lung	SCLC-A
8.429244041442871	-3.101013422012329	Tgd	T cells	pleural_effusion	SCLC-A
9.113822937011719	-2.44834041595459	Tgd	T cells	pleural_effusion	SCLC-A
0.5158798694610596	-2.6582319736480713	CD8+ Tmem	T cells	liver	SCLC-N
-7.85415506362915	-5.977565288543701	CD8+ Tmem	T cells	lung	SCLC-A
-7.811747074127197	-5.861906051635742	CD8+ Tmem	T cells	lung	SCLC-A
-1.303429365158081	-5.29612922668457	CD4+ Tconv	T cells	liver	SCLC-A
2.142960548400879	1.7567647695541382	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
-9.055514335632324	6.722204685211182	pDC	Myeloid	pleural_effusion	SCLC-A
2.2180285453796387	2.1377835273742676	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
2.4983863830566406	-4.7709760665893555	CD8+ Tmem	T cells	liver	SCLC-N
0.3181971311569214	1.402348279953003	CD4+ Tconv	T cells	axilla	SCLC-N
1.0373085737228394	1.3170675039291382	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
2.5078001022338867	-4.700399875640869	CD8+ Tmem	T cells	liver	SCLC-N
0.8269376158714294	-4.658052444458008	CD8+ Tmem	T cells	liver	SCLC-N
8.257806777954102	-1.5866838693618774	NK	NK	lung	SCLC-A
4.8854169845581055	9.99921989440918	Neutrophil	Myeloid	liver	SCLC-A
-0.7688174843788147	-4.729595184326172	CD4+ Tconv	T cells	liver	SCLC-A
4.948594093322754	9.853387832641602	Neutrophil	Myeloid	liver	SCLC-A
0.2896118462085724	1.4782538414001465	CD4+ Tconv	T cells	lung	SCLC-A
1.4015029668807983	-0.7262436747550964	CD4+ Tconv	T cells	lung	SCLC-A
1.0812764167785645	-5.272878646850586	CD8+ Tmem	T cells	liver	SCLC-A
4.9336466789245605	10.79089069366455	Neutrophil	Myeloid	LN	SCLC-A
2.955578327178955	1.2134732007980347	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
2.4561927318573	-1.0749317407608032	CD8+ Tmem	T cells	lung	SCLC-A
