cell_type	gene	counts	avg	Freq	perc_expr
NK	GZMA	247	4.490061346818561	247	1
Neutrophil	GZMA	403	-3.2674580259299457	403	1
CD8+ Teff	GZMA	120	3.036755727728208	120	1
B cell	GZMA	353	-3.115734835522033	353	1
pDC	GZMA	78	-2.503288000057905	78	1
CD4+ Treg	GZMA	275	-2.1882696719603105	275	1
CD8+ Texh	GZMA	50	4.31547589302063	50	1
Mast	GZMA	20	-3.321928024291992	20	1
Plasma cell	GZMA	9	-3.321928024291992	9	1
Tgd	HAVCR2	733	-2.1571371147121936	733	1
CD8+ Tmem	HAVCR2	1547	-2.4162911725529717	1547	1
cDC	HAVCR2	31	-1.148787796497345	31	1
Mono/Mφ	HAVCR2	396	-1.9874450590724897	396	1
CD4+ Tconv	HAVCR2	1876	-3.148113147282143	1876	1
NK	HAVCR2	247	-1.092935935688405	247	1
Neutrophil	HAVCR2	403	-3.2837732163611477	403	1
CD8+ Teff	HAVCR2	120	-2.4592413643995923	120	1
B cell	HAVCR2	353	-3.289434330996981	353	1
pDC	HAVCR2	78	-2.978694636088151	78	1
CD4+ Treg	HAVCR2	275	-1.816606945774772	275	1
CD8+ Texh	HAVCR2	50	-0.9354248380661011	50	1
Mast	HAVCR2	20	-2.390561604499817	20	1
Plasma cell	HAVCR2	9	-3.321928024291992	9	1
Tgd	HLA-A	733	6.2527600525183376	733	1
CD8+ Tmem	HLA-A	1547	6.272818222613048	1547	1
cDC	HLA-A	31	4.9376487039750625	31	1
Mono/Mφ	HLA-A	396	3.633812889306232	396	1
CD4+ Tconv	HLA-A	1876	5.901378971045967	1876	1
NK	HLA-A	247	6.108445331635263	247	1
Neutrophil	HLA-A	403	2.8441629356545195	403	1
CD8+ Teff	HLA-A	120	6.355448710918426	120	1
B cell	HLA-A	353	5.595600638781323	353	1
pDC	HLA-A	78	4.77607244405991	78	1
CD4+ Treg	HLA-A	275	6.556152054179798	275	1
CD8+ Texh	HLA-A	50	6.172096261978149	50	1
Mast	HLA-A	20	4.212069022655487	20	1
Plasma cell	HLA-A	9	5.192639986673991	9	1
Tgd	HLA-B	733	5.544167385745341	733	1
CD8+ Tmem	HLA-B	1547	6.140632120809327	1547	1
cDC	HLA-B	31	5.186888017962056	31	1
Mono/Mφ	HLA-B	396	4.571088585588667	396	1
CD4+ Tconv	HLA-B	1876	5.61676697436172	1876	1
NK	HLA-B	247	6.288365217355581	247	1
Neutrophil	HLA-B	403	4.862564449570611	403	1
CD8+ Teff	HLA-B	120	6.831570309400559	120	1
B cell	HLA-B	353	6.279780176476108	353	1
pDC	HLA-B	78	5.611608859820244	78	1
CD4+ Treg	HLA-B	275	6.238454521352595	275	1
CD8+ Texh	HLA-B	50	6.446565275192261	50	1
Mast	HLA-B	20	4.832832944393158	20	1
Plasma cell	HLA-B	9	5.768134593963623	9	1
Tgd	HLA-C	733	5.88010586267604	733	1
CD8+ Tmem	HLA-C	1547	6.099140824852409	1547	1
cDC	HLA-C	31	5.068677817621539	31	1
Mono/Mφ	HLA-C	396	3.354071466609685	396	1
CD4+ Tconv	HLA-C	1876	5.6545388996601105	1876	1
NK	HLA-C	247	6.221500618737719	247	1
Neutrophil	HLA-C	403	2.52623498706013	403	1
CD8+ Teff	HLA-C	120	6.2697920044263205	120	1
B cell	HLA-C	353	5.37834962096498	353	1
pDC	HLA-C	78	5.372606949928479	78	1
CD4+ Treg	HLA-C	275	6.087781526392156	275	1
CD8+ Texh	HLA-C	50	6.330474424362182	50	1
Mast	HLA-C	20	4.496058821678162	20	1
Plasma cell	HLA-C	9	5.782240708669026	9	1
Tgd	HLA-DPA1	733	-0.13444731261525278	733	1
CD8+ Tmem	HLA-DPA1	1547	1.0074225897625637	1547	1
cDC	HLA-DPA1	31	6.065106372679433	31	1
Mono/Mφ	HLA-DPA1	396	2.603938866745342	396	1
CD4+ Tconv	HLA-DPA1	1876	-1.1663903184473388	1876	1
NK	HLA-DPA1	247	-1.0893967926260912	247	1
Neutrophil	HLA-DPA1	403	-3.216253955665948	403	1
CD8+ Teff	HLA-DPA1	120	1.7431791772445042	120	1
B cell	HLA-DPA1	353	5.542416487469551	353	1
pDC	HLA-DPA1	78	4.586327439699417	78	1
CD4+ Treg	HLA-DPA1	275	-0.009440948096188633	275	1
CD8+ Texh	HLA-DPA1	50	2.27817453622818	50	1
Mast	HLA-DPA1	20	-1.9203397393226624	20	1
Plasma cell	HLA-DPA1	9	-0.3844681448406643	9	1
Tgd	HLA-DPB1	733	-0.10002650033890957	733	1
CD8+ Tmem	HLA-DPB1	1547	1.2869445119431193	1547	1
cDC	HLA-DPB1	31	6.357685066038562	31	1
Mono/Mφ	HLA-DPB1	396	2.527238118227082	396	1
CD4+ Tconv	HLA-DPB1	1876	-0.9303309143796913	1876	1
NK	HLA-DPB1	247	-0.6210826143079441	247	1
Neutrophil	HLA-DPB1	403	-3.229574551357525	403	1
CD8+ Teff	HLA-DPB1	120	0.9998668313026429	120	1
B cell	HLA-DPB1	353	5.502904332730993	353	1
pDC	HLA-DPB1	78	4.410432616869609	78	1
CD4+ Treg	HLA-DPB1	275	-0.28284957799044524	275	1
CD8+ Texh	HLA-DPB1	50	2.3396355295181275	50	1
Mast	HLA-DPB1	20	-2.55408970117569	20	1
Plasma cell	HLA-DPB1	9	-1.007653580771552	9	1
Tgd	HLA-DQA1	733	-3.080034136934788	733	1
CD8+ Tmem	HLA-DQA1	1547	-2.3646388925424144	1547	1
